time (s),set_points (m),k_m (kg^1/2.s^-1/2),displacement (m),velocity (m.s^-1),d_current (A),q_current (A),force (N),total_power (W),p_loss (W),slot_temp (K),pole_temp (K)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.15,298.15
0.0008693952754402261,3.779240724788933e-06,0.0,-1.4814623641172616e-11,-1.7040147398628432e-08,-0.7544501847322163,-0.4356616340552796,0.0,-2.479833628060557e-07,0.0,298.15,298.15
0.0017387905508804522,1.5116962899155732e-05,1.0902776717030293e-05,-4.444387092351785e-11,-3.4080294797256863e-08,-1.3886044234246882,-0.33092263320223014,-2.081855875682191e-05,18.82231320091506,3.646087484717614,298.15,298.15
0.0026081858263206784,3.4013166523100404e-05,0.7887668787050182,-1.1329936509920163e-10,-7.919929647744886e-08,-1.2344818608572252,-0.23547264774827747,1.325970167831908,-0.6217536867042783,2.825987099688281,298.15,298.15
0.0034775811017609044,6.046785159662293e-05,0.897706174377619,1.5546217169987754e-06,0.0017882947610643738,-1.1107257570294313,-0.13872866315573792,1.344133367122179,-0.45561823818823277,2.241900325536976,298.15,298.15
0.00434697637720113,9.448101811972332e-05,1.0442906809782089,4.68545858186295e-06,0.003601166182182032,-1.0124184008672483,-0.041669781014400664,1.415431910069959,-0.015672334364417374,1.837109993448339,298.15,298.15
0.005216371652641357,0.00013605266609240162,1.2369709565800224,9.476001217535411e-06,0.005510200907460334,-0.9221500373035638,0.05582297601160875,1.528605413737092,0.14148636176688179,1.5271151343837819,298.1501800852416,298.1500000006205
0.006085766928081583,0.00018518279551465775,1.4505698676261836,1.605895568527241e-05,0.007571877434465767,-0.8396938475667741,0.1535940580406071,1.656327650878643,0.3362109949478999,1.3038126810008923,298.1501800852416,298.1500000006205
0.00695516220352181,0.0002418714063864918,1.6688662629405964,2.4584087738334922e-05,0.009805818243888816,-0.7646955458654718,0.25166768703535214,1.797137368588766,0.5770190346253792,1.1596300983180936,298.1501800852416,298.1500000006205
0.007824557478962036,0.0003061184987079037,1.8720490459774517,3.5216509372185025e-05,0.012229674963975713,-0.6964545544505464,0.3498349082077025,1.951671237089411,0.8505041585158015,1.0868731949937203,298.1501800852416,298.1500000006205
0.008693952754402262,0.0003719965224811122,2.037853983515494,4.813742537729849e-05,0.014861957926526394,-0.6342615462089374,0.44808004367874676,2.116872312784068,1.1606264621115587,1.0790540522222696,298.1501800852416,298.1500000006205
0.009563348029842489,0.0004304150462858585,2.2066290251462806,6.354054879922364e-05,0.017717054436631987,-0.5773880916057843,0.5193113553285417,2.292187579844628,1.1592266670422098,1.0790502187784121,298.1503045349562,298.1500000006206
0.010432743305282715,0.000481275088641027,2.3307977693320496,8.163145247803196e-05,0.020808605923983002,-0.5255017228454233,0.5625744730544415,2.400164514827575,1.0159644115891646,1.0604076049750581,298.1503045349562,298.1500000006206
0.011302138580722942,0.0005245766495466176,2.4221452670899786,0.00010253674903314235,0.024045790385190217,-0.47855014351110936,0.5805170649856487,2.4375443263939,0.798998997241857,1.0127556428049944,298.1503045349562,298.1500000006206
0.012171533856163168,0.0005603197290026304,2.4999860493059853,0.00012630026963883796,0.027333390549727485,-0.43589816488153993,0.57464968906965,2.411988485932638,0.54538338021076,0.9308405416717319,298.1503045349562,298.1500000006206
0.013040929131603395,0.0005885043270090652,2.570935553607493,0.00015289204778511583,0.030586522491524812,-0.39705622329853774,0.5475797761273354,2.326085127296736,0.28225294568499737,0.8185945116865342,298.1503045349562,298.1500000006206
0.013910324407043621,0.0006091304435659223,2.6436110146215297,0.00018221135409624876,0.033723793008061664,-0.3618797899233665,0.501410294243588,2.186649669124256,0.04582605997742382,0.6841688738249782,298.1503811000931,298.1500000006208
0.014779719682483847,0.0006221980786732014,2.7264120378760177,0.00021409468801906881,0.03667300113481252,-0.32965578513945076,0.4380063573226429,1.999264246982835,-0.14429054186521684,0.5377215202681811,298.1503811000931,298.1500000006208
0.015649114957924072,0.0006277072323309027,2.8213359648403182,0.00024832232337648096,0.03936947476518167,-0.3003859576014928,0.35956913607562674,1.768209539336061,-0.26737338519543635,0.3927876717748735,298.1503811000931,298.1500000006208
0.016518510233364297,0.0006279051952931338,2.927696384977885,0.0002846233278460513,0.04175431532128927,-0.27369171465505276,0.2676265508690751,1.499102012862454,-0.3048128551019376,0.26218648525351623,298.1503811000931,298.1500000006208
0.01738790550880452,0.0006279051952931338,2.9297488855690696,0.0003226821487698206,0.043776199386979485,-0.24931335073497196,0.1762036364557675,1.196437191444203,-0.23020170748916408,0.1667704166991065,298.1503811000931,298.1500000006208
0.018257300784244746,0.0006279051952931338,2.752502650658033,0.00036214388455837283,0.04538986684574566,-0.22737239219720934,0.08893820023259505,0.8989198854155633,-0.1218642297748182,0.10665629268806197,298.1503890522906,298.1500000006207
0.01912669605968497,0.0006279051952931338,2.2229557590848006,0.00040265966954475155,0.04660226036524435,-0.20737822913977627,0.006305908726070286,0.616928568952653,-0.006793276738340054,0.077020817745643,298.1503890522906,298.1500000006207
0.019996091335125196,0.0006279051952931338,1.298512392982759,0.00044389884367422946,0.04743432049201796,-0.18922019453287522,-0.07156682623645984,0.3513876170577909,0.110396629224606,0.07322859605873495,298.1503890522906,298.1500000006207
0.02086548661056542,0.0006279051952931338,0.3396811515668992,0.0004855500364167234,0.04790823451554126,-0.17251663867519684,-0.14394229992320773,0.1020886016484043,0.22514681657275415,0.09032575741738733,298.1503890522906,298.1500000006207
0.021734881886005645,0.0006279051952931338,0.36748255616303993,0.0005273209223662147,0.04804590860968311,-0.15720795174956545,-0.2107322974983457,-0.1292368831020794,0.3320973242952461,0.12368000477488136,298.1503890522906,298.1500000006207
0.02260427716144587,0.0006279051952931338,0.8324867053635253,0.0005689402516898829,0.047871584421244874,-0.14340393236109245,-0.27194651292033617,-0.3423563930851927,0.43098129797592344,0.1691228431846611,298.1504048398634,298.1500000006208
0.023473672436886094,0.0006279051952931338,1.1397032730943726,0.0006101581226896246,0.04740981710404476,-0.13083872774337788,-0.32735923645511367,-0.5374494278881219,0.5172650817004595,0.2223778969756568,298.1504048398634,298.1500000006208
0.02434306771232632,0.0006279051952931338,1.350323740405567,0.0006507457713227239,0.046684919713357476,-0.11941404272054042,-0.37690969717214967,-0.7141447981241161,0.5902060830684139,0.2797027574461062,298.1504048398634,298.1500000006208
