time (s),set_points (m),k_m (kg^1/2.s^-1/2),displacement (m),velocity (m.s^-1),d_current (A),q_current (A),force (N),total_power (W),p_loss (W),slot_temp (K),pole_temp (K)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.15,298.15
0.0008645118167614151,3.736903406600613e-06,0.0,-1.4648661353874404e-11,-1.694443160852374e-08,-0.7543764073355097,-0.4356193511809447,0.0,-2.5419531549795737e-07,0.0,298.15,298.15
0.0017290236335228302,1.4947613626402452e-05,0.00017447535608758495,-4.394598406162321e-11,-3.388886321704748e-08,-1.3884739250621263,-0.33056659525574866,0.0003331071159020229,18.816630531531548,3.6450176352161705,298.15,298.15
0.0025935354502842453,3.3632130659405515e-05,0.7853928548951792,2.910532803927358e-10,3.8750108206654037e-07,-1.234448919115979,-0.2342756956655942,1.320029171008345,-0.6234797733100564,2.824835519683172,298.15,298.15
0.0034580472670456604,5.9790454505609806e-05,0.8955233549159747,1.5022868661490098e-06,0.001737391882617994,-1.110806583075905,-0.13655884970028898,1.340641480320809,-0.4537340459541254,2.2411528242704146,298.15,298.15
0.004322559083807076,9.342258516501533e-05,1.0435083298437886,4.52939221617652e-06,0.0035015199229635518,-1.012479108658129,-0.03822721034860367,1.41426672778641,-0.010472116314438437,1.8368377999775385,298.15,298.15
0.0051870709005684915,0.00013452852263762211,1.238020727892577,9.165363758102503e-06,0.005362531144216161,-0.9223544548577454,0.06067184075388353,1.530746669458763,0.15181488320897124,1.5288004937237463,298.1501678242939,298.1500000002694
0.006051582717329907,0.0001831082669234301,1.4527287364795727,1.554270998044913e-05,0.007376817874204518,-0.8399826509375605,0.16031327471692122,1.661742997584216,0.35992125147412474,1.3084546048079642,298.1501678242939,298.1500000002694
0.006916094534091323,0.00023916181802243933,1.6721781259122803,2.381045332598758e-05,0.009563482170215553,-0.7648532918183704,0.2603967270610619,1.807236706896345,0.6080222728239502,1.1680595966460916,298.1501678242939,298.1500000002694
0.007780606350852738,0.0003026891759346498,1.8736268832294338,3.4134108571198976e-05,0.011941601080578965,-0.6964858658659898,0.3607536473466706,1.965821080327207,0.8968498979478009,1.1008338046257393,298.1501678242939,298.1500000002694
0.008645118167614154,0.00037369034066006156,2.0359970162222996,4.6694082533985665e-05,0.014528400560027212,-0.6343500817716274,0.46134842990286135,2.136192377939376,1.2225264482446594,1.1008456937137159,298.1501678242939,298.1500000002694
0.00950962998437557,0.0004521653121986745,2.150206581777122,6.168419092896787e-05,0.01733939097690682,-0.5777988907686076,0.5616677214549527,2.317663618882355,1.5826957288694612,1.1618242402009649,298.1502852460802,298.1500000002695
