% Column 0: Length, m
% Column 1: |B|, Tesla
0.00000000e+000	0.00000000e+000	
1.55438390e-005	5.17913984e-003	
3.10876779e-005	5.58151083e-003	
4.66315169e-005	6.70542830e-003	
6.21753558e-005	8.20040563e-003	
7.77191948e-005	9.89974315e-003	
9.32630337e-005	1.17148433e-002	
1.08806873e-004	1.35634518e-002	
1.24350712e-004	1.53895159e-002	
1.39894551e-004	1.72417102e-002	
1.55438390e-004	1.91124396e-002	
1.70982228e-004	2.09967502e-002	
1.86526067e-004	2.28643878e-002	
2.02069906e-004	2.48410584e-002	
2.17613745e-004	2.68230114e-002	
2.33157584e-004	2.88091565e-002	
2.48701423e-004	3.07986828e-002	
2.64245262e-004	3.27909748e-002	
2.79789101e-004	3.47855573e-002	
2.95332940e-004	3.67820577e-002	
3.10876779e-004	3.87801798e-002	
3.26420618e-004	4.07796852e-002	
3.41964457e-004	4.25447865e-002	
3.57508296e-004	4.34290998e-002	
3.73052135e-004	4.43213140e-002	
3.88595974e-004	4.52209615e-002	
4.04139813e-004	4.61276073e-002	
4.19683652e-004	4.70408469e-002	
4.35227491e-004	4.79603036e-002	
4.50771330e-004	4.88856265e-002	
4.66315169e-004	4.98164887e-002	
4.81859008e-004	5.07525856e-002	
4.97402847e-004	5.21439960e-002	
5.12946685e-004	5.40418143e-002	
5.28490524e-004	5.59396491e-002	
5.44034363e-004	5.78374990e-002	
5.59578202e-004	5.97353624e-002	
5.75122041e-004	6.16332381e-002	
5.90665880e-004	6.35311250e-002	
6.06209719e-004	6.54290222e-002	
6.21753558e-004	6.73269287e-002	
6.37297397e-004	6.92248438e-002	
6.52841236e-004	7.14588201e-002	
6.68385075e-004	7.43290662e-002	
6.83928914e-004	7.71995318e-002	
6.99472753e-004	8.00701934e-002	
7.15016592e-004	8.29410305e-002	
7.30560431e-004	8.58120256e-002	
7.46104270e-004	8.86831632e-002	
7.61648109e-004	9.15544301e-002	
7.77191948e-004	9.44258144e-002	
7.92735787e-004	9.72973057e-002	
8.08279626e-004	9.95526224e-002	
8.23823465e-004	1.01450700e-001	
8.39367303e-004	1.03348917e-001	
8.54911142e-004	1.05247266e-001	
8.70454981e-004	1.07145741e-001	
8.85998820e-004	1.09044335e-001	
9.01542659e-004	1.10943041e-001	
9.17086498e-004	1.12841853e-001	
9.32630337e-004	1.14740768e-001	
9.48174176e-004	1.16639779e-001	
9.63718015e-004	1.18786145e-001	
9.79261854e-004	1.21392885e-001	
9.94805693e-004	1.24001457e-001	
1.01034953e-003	1.26611750e-001	
1.02589337e-003	1.29223658e-001	
1.04143721e-003	1.31837086e-001	
1.05698105e-003	1.34451944e-001	
1.07252489e-003	1.37068152e-001	
1.08806873e-003	1.39685633e-001	
1.10361257e-003	1.42304318e-001	
1.11915640e-003	1.44924140e-001	
1.13470024e-003	1.47545039e-001	
1.15024408e-003	1.50166959e-001	
1.16578792e-003	1.52789847e-001	
1.18133176e-003	1.55413655e-001	
1.19687560e-003	1.58038336e-001	
1.21241944e-003	1.60663848e-001	
1.22796328e-003	1.63290150e-001	
1.24350712e-003	1.65917205e-001	
1.25905096e-003	1.68537117e-001	
1.27459479e-003	1.70457483e-001	
1.29013863e-003	1.71686227e-001	
1.30568247e-003	1.72915018e-001	
1.32122631e-003	1.74143854e-001	
1.33677015e-003	1.75372735e-001	
1.35231399e-003	1.76601659e-001	
1.36785783e-003	1.77830627e-001	
1.38340167e-003	1.79059636e-001	
1.39894551e-003	1.80288686e-001	
1.41448934e-003	1.81517777e-001	
1.43003318e-003	1.82746907e-001	
1.44557702e-003	1.83976076e-001	
1.46112086e-003	1.85205283e-001	
1.47666470e-003	1.86434526e-001	
1.49220854e-003	1.87663806e-001	
1.50775238e-003	1.88893122e-001	
1.52329622e-003	1.90122473e-001	
1.53884006e-003	1.91351858e-001	
1.55438390e-003	1.92581277e-001	
1.56992773e-003	1.93810729e-001	
